Work Order ID,Technician Name,Technician ID,Parts Used,Parts Cost,Work Hours,Task Status,Completion Notes,Equipment ID,Task Id
WO-10345,John Smith,TECH-224,O-ring,45.20,2.5,Completed,Successfully replaced sensor,EQP-1036,TASK-77888
WO-10346,Sarah Johnson,TECH-189,Pressure gauge,78.50,1.75,Completed,No leaks detected,EQP-1090,TASK-99678
WO-10347,Michael Brown,TECH-205,Seal kit,120.75,3.0,Completed,Full seal replacement,EQP-1080,TASK-45943
WO-10348,Emily Davis,TECH-178,Valve assembly,95.30,2.25,In Progress,Waiting for additional parts,EQP-1075,TASK-45225
WO-10349,David Wilson,TECH-213,Bearing set,210.45,4.5,Completed,Complete overhaul performed,EQP-1023,TASK-43237
WO-10350,Jennifer Lee,TECH-197,Lubricant,35.80,1.5,Completed,Routine maintenance,EQP-1049,TASK-55779
WO-10351,Robert Taylor,TECH-231,Filter set,68.90,1.0,Completed,Filter changed on schedule,EQP-1001,TASK-75825
WO-10352,Lisa Martinez,TECH-192,Grease fitting,12.50,0.75,Completed,Additional lubrication points added,EQP-1013,TASK-47168
WO-10353,James Anderson,TECH-207,Control valve,145.60,2.0,Completed,Valve functioning normally,EQP-1083,TASK-17044
WO-10354,Patricia White,TECH-184,Gasket set,52.30,1.25,Scheduled,Work planned for next week,EQP-1036,TASK-77888
WO-10355,Thomas Harris,TECH-219,Pressure sensor,89.75,2.75,Completed,Calibration performed,EQP-1090,TASK-99678
WO-10356,Nancy Clark,TECH-176,Sealant tube,24.95,1.5,Completed,Temporary seal applied,EQP-1080,TASK-45943
WO-10357,Daniel Lewis,TECH-202,Actuator,156.80,3.25,In Progress,Testing required,EQP-1075,TASK-45225
WO-10358,Margaret Walker,TECH-227,Pump shaft,187.30,4.0,Completed,Overhaul completed,EQP-1023,TASK-43237
WO-10359,Charles Hall,TECH-191,Lubricant pump,65.40,2.0,Completed,System flushed,EQP-1049,TASK-55779
WO-10360,Susan Young,TECH-214,Filter housing,78.25,1.75,Completed,Full replacement,EQP-1001,TASK-75825
WO-10361,Joseph Allen,TECH-183,Drive belt,42.60,1.25,Completed,Belt tension adjusted,EQP-1013,TASK-47168
WO-10362,Christopher King,TECH-208,Valve stem,58.90,1.5,Completed,Preventive maintenance,EQP-1083,TASK-17044
WO-10363,Barbara Wright,TECH-225,Pressure switch,76.45,2.25,Completed,Switch replaced,EQP-1036,TASK-77888
WO-10364,Matthew Scott,TECH-177,Test kit,112.80,3.0,Completed,Annual testing complete,EQP-1090,TASK-99678
WO-10365,Dorothy Green,TECH-203,Seal retainer,38.70,1.0,Completed,Retainer replaced,EQP-1080,TASK-45943
WO-10366,Donald Baker,TECH-228,Valve seat,67.35,1.75,On Hold,Waiting for approval,EQP-1075,TASK-45225
WO-10367,George Adams,TECH-195,Coupling,93.20,2.5,Completed,Alignment corrected,EQP-1023,TASK-43237
WO-10368,Karen Nelson,TECH-220,Lube filter,29.95,1.0,Completed,Filter cleaned,EQP-1049,TASK-55779
WO-10369,Mark Carter,TECH-186,Filter element,54.80,1.5,Completed,Element replaced,EQP-1001,TASK-75825
WO-10370,Betty Mitchell,TECH-211,Gearbox oil,32.40,1.25,Completed,Oil changed,EQP-1013,TASK-47168
WO-10371,Steven Perez,TECH-233,Control board,215.60,3.5,Completed,Board reprogrammed,EQP-1083,TASK-17044
WO-10372,Donna Roberts,TECH-182,Transmitter,143.75,2.75,Completed,Calibrated,EQP-1036,TASK-77888
WO-10373,Edward Turner,TECH-209,Test gauge,87.90,2.0,Completed,Testing complete,EQP-1090,TASK-99678
WO-10374,Rebecca Phillips,TECH-194,Seal ring,19.95,0.75,Completed,Ring replaced,EQP-1080,TASK-45943
WO-10375,Brian Campbell,TECH-229,Valve spring,45.60,1.25,Completed,Spring tension adjusted,EQP-1075,TASK-45225
